total_population,california_county,approximate_location,ces_4_0_score,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,twocounty
5505,Los Angeles,Los Angeles,69.26,95-100% (highest scores),0.046,12.15734144,0.316,787.94,92.7,0,3011.45992,554.9191044,57.05,4.75,1.92,7,2.6,65.67,8.02,69.35,21,55.5,27.4,60.3,8.1,31.8,83.26,8.64,Los Angeles
3289,Los Angeles,Huntington Park,69.06,95-100% (highest scores),0.046,12.14111892,0.388,380.45,91.3,0,3826.773356,805.1329156,53.9,9.5,9.885,0,13.2,62.91,7.68,60.74,24.24,54.7,25.6,59.9,7.1,28.4,86.67,8.99,Los Angeles
3073,Los Angeles,Los Angeles,68.96,95-100% (highest scores),0.065,12.06000567,0.452,726.64,63.15,0,650.1786652,3927.660141,40.5,11.5,0.355,0,0,61.05,7.45,86.23,15.46,40.8,25.5,69.8,11.2,40.8,89.18,9.25,Los Angeles
5510,Los Angeles,Los Angeles,68.92,95-100% (highest scores),0.048,12.30827709,1.076,828.12,91.36,0,2522.046671,4013.208536,5.65,1.05,3.9,7,4.75,70.61,8.62,70.82,19.23,41.5,10,39.2,8.6,24.5,77.06,7.99,Los Angeles
7395,Los Angeles,Glendale,68.86,95-100% (highest scores),0.052,11.87080549,0.265,685.63,68.49,0,1774.731018,1006.129331,49.25,33.25,1.95,6,10.8,69.68,8.51,65.09,19.32,21,36.9,53.8,13.2,41,78.03,8.09,Los Angeles
4443,Los Angeles,Gardena,68.75,95-100% (highest scores),0.043,12.12237612,0.244,373.79,82.13,28.67,10779.88688,875.4572135,69.7,68.25,4.48,5,9.9,73.03,8.92,66.53,12.77,38.5,18.2,51.2,6.6,23.1,74.33,7.71,Los Angeles
4802,Los Angeles,El Monte,68.72,95-100% (highest scores),0.055,11.96074742,0.216,821.08,83.17,0.04,2374.994405,602.1711841,15.95,188.45,1.07,3,1.7,66.76,8.15,65.92,16.69,48.9,31.8,62.6,5.4,28.2,81.26,8.43,Los Angeles
5139,Los Angeles,Los Angeles,68.65,95-100% (highest scores),0.065,11.41126373,0.368,726.64,69.49,0,764.6736857,2560.759679,50.8,5.7,0.78,4,16.45,69.18,8.45,74.78,15.13,46.9,6.7,54.3,5.4,35.1,78.34,8.13,Los Angeles
2991,Los Angeles,Los Angeles,68.57,95-100% (highest scores),0.05,12.45587973,0.357,767.52,79.9,0,1640.341634,2390.883961,50.1,20.8,0.025,8,8.8,70.07,8.56,65.4,11.07,45.2,23,58.9,11.5,23.5,77.26,8.01,Los Angeles
7139,Los Angeles,Lynwood,68.47,95-100% (highest scores),0.044,12.04697253,0.972,500.35,84.24,0,7876.333211,3490.191587,4.65,4,0.615,10,7,67.58,8.25,67.6,18.77,51.7,15.8,48.9,10.1,25.2,79.99,8.3,Los Angeles
2704,Los Angeles,Los Angeles,68.43,95-100% (highest scores),0.065,12.08174436,0.184,726.64,89.01,0,680.3183187,1392.963629,41.35,10,0.9,0,1.5,63.46,7.75,93.8,20.79,33.8,16.3,47.9,9.1,27.9,85.14,8.83,Los Angeles
